epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
82,533.475,0.86637,0.57955,1.48849,0.0132,0.94808,0.97727,0.98533,0.69183,1.03309,0.60425,1.54706,0.0027,0.0003962,0.0003962,0.0003962
83,539.053,0.87644,0.59052,1.64135,0.0215,0.95201,0.96212,0.98395,0.68063,1.04112,0.61729,1.55686,0.00265,0.0003764,0.0003764,0.0003764
84,545.955,0.85898,0.5932,1.52716,0.01049,0.94085,0.96405,0.98012,0.69059,1.02585,0.60671,1.55939,0.00276,0.0003566,0.0003566,0.0003566
85,551.574,0.90849,0.62377,1.56238,0.01741,0.94665,0.9697,0.98041,0.69606,1.01281,0.61314,1.57673,0.00272,0.0003368,0.0003368,0.0003368
86,557.969,0.87675,0.58281,1.52538,0.01556,0.95558,0.95455,0.98437,0.69141,1.00686,0.60113,1.56052,0.00251,0.000317,0.000317,0.000317
87,563.672,0.84119,0.58062,1.51306,0.01163,0.94683,0.98485,0.9875,0.70313,0.98694,0.60267,1.5386,0.00238,0.0002972,0.0002972,0.0002972
88,569.614,0.87185,0.57391,1.53289,0.01486,0.93809,0.97727,0.98424,0.70938,0.99755,0.60919,1.53245,0.00258,0.0002774,0.0002774,0.0002774
89,575.909,0.82173,0.54653,1.49323,0.01735,0.95777,0.96212,0.98284,0.71036,0.98714,0.58922,1.51281,0.00254,0.0002576,0.0002576,0.0002576
90,581.526,0.86576,0.56359,1.5539,0.01698,0.96836,0.98485,0.98074,0.71761,0.96463,0.58988,1.50509,0.00239,0.0002378,0.0002378,0.0002378
91,590.137,0.85984,0.56548,1.46845,0.00324,0.96954,0.98485,0.9814,0.69941,0.99923,0.59393,1.5292,0.00246,0.000218,0.000218,0.000218
92,595.555,0.83685,0.5274,1.36718,0.00254,0.97019,0.97727,0.98949,0.69693,0.99335,0.57846,1.52603,0.00248,0.0001982,0.0001982,0.0001982
93,601.926,0.80046,0.51221,1.34395,0.00255,0.97532,0.97727,0.9903,0.70521,0.97745,0.56712,1.5087,0.0024,0.0001784,0.0001784,0.0001784
94,607.203,0.81949,0.50457,1.3638,0.00323,0.97505,0.9697,0.98297,0.7032,0.96311,0.5705,1.50611,0.00223,0.0001586,0.0001586,0.0001586
95,613.931,0.84915,0.53062,1.44787,0.00407,0.97724,0.97597,0.9897,0.71066,0.97413,0.5815,1.53842,0.00213,0.0001388,0.0001388,0.0001388
96,619.147,0.82733,0.50878,1.40142,0.00236,0.97616,0.97727,0.99018,0.7108,0.96403,0.57233,1.52393,0.00207,0.000119,0.000119,0.000119
97,625.661,0.75142,0.51139,1.33722,0.00301,0.97743,0.98404,0.99043,0.70394,0.96619,0.57512,1.52592,0.00217,9.92e-05,9.92e-05,9.92e-05
98,630.743,0.76933,0.49353,1.33629,0.0026,0.96845,0.97727,0.99045,0.70695,0.96248,0.56602,1.51565,0.00213,7.94e-05,7.94e-05,7.94e-05
99,636.577,0.77258,0.49535,1.43061,0.00395,0.97006,0.9817,0.99087,0.70294,0.96794,0.5687,1.51182,0.00213,5.96e-05,5.96e-05,5.96e-05
100,642.632,0.76277,0.4866,1.3587,0.00296,0.96814,0.97727,0.9907,0.71141,0.96701,0.56876,1.51257,0.00211,3.98e-05,3.98e-05,3.98e-05
